id	created	item_id	test_id	user_id	completed	correct_response	points	timed_out	groupnum	rownum	percent_correct	total_items	ordernum	duration	est_rating	bonus	ui_blur	ui_mousemove	ui_keypress
1	2011-10-24 10:25:43	379	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
2	2011-10-24 10:25:43	88	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
3	2011-10-24 10:25:43	587	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
4	2011-10-24 10:25:43	181	1	680	2011-10-24 10:25:43	0	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
5	2011-10-24 10:25:43	343	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
6	2011-10-24 10:25:43	29	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
7	2011-10-24 10:25:43	104	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
8	2011-10-24 10:25:43	590	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
9	2011-10-24 10:25:43	154	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
10	2011-10-24 10:25:43	250	1	680	2011-10-24 10:25:43	1	0	0	0	0	0.00	0	0	0	NULL	0	NULL	NULL	NULL
